Name,d_code,code
approach_left,7,7
around_wallwithlever,17,14
approach_right,10,1
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
approach_left,7,7
around_wallwithlever,17,14
approach_right,10,1
around_wallwithlever,17,14
rearing_sup,5,17
approach_feeder,3,12
approach_left,7,7
approach_feeder,3,12
approach_right,10,1
approach_left,7,7
rearing_sup,5,17
rearing_nosup,6,18
approach_right,10,1
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
grooming,2,5
approach_right,10,1
rearing_sup,5,17
around_wallwithlever,17,14
approach_feeder,3,12
approach_feeder,3,12
look_around,1,20
approach_left,7,7
around_wallwithlever,17,14
approach_right,10,1
rearing_sup,5,17
around_wallwithlever,17,14
approach_right,10,1
grooming,2,5
rearing_sup,5,17
approach_left,7,7
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
approach_left,7,7
rearing_sup,5,17
approach_right,10,1
rearing_sup,5,17
grooming,2,5
approach_feeder,3,12
around_feeder,14,13
grooming,2,5
approach_left,7,7
approach_feeder,3,12
approach_feeder,3,12
grooming,2,5
approach_right,10,1
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
rearing_sup,5,17
around_left,8,3
approach_feeder,3,12
rearing_sup,5,17
approach_right,10,1
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
grooming,2,5
approach_feeder,3,12
approach_left,7,7
approach_left,7,7
approach_right,10,1
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
approach_left,7,7
around_wallwithlever,17,14
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
approach_right,10,1
rearing_sup,5,17
grooming,2,5
grooming,2,5
approach_feeder,3,12
approach_wallwithlever,16,11
approach_left,7,7
around_wallwithlever,17,14
approach_right,10,1
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
rearing_nosup,6,18
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
approach_right,10,1
around_wallwithlever,17,14
approach_left,7,7
around_wallwithlever,17,14
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
approach_left,7,7
around_wallwithlever,17,14
rearing_sup,5,17
approach_right,10,1
rearing_sup,5,17
approach_left,7,7
around_wallwithlever,17,14
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
approach_wallwithlever,16,11
grooming,2,5
approach_right,10,1
grooming,2,5
look_around,1,20
look_around,1,20
grooming,2,5
rearing_sup,5,17
rearing_sup,5,17
approach_feeder,3,12
rearing_nosup,6,18
approach_right,10,1
rearing_sup,5,17
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
rearing_sup,5,17
approach_feeder,3,12
rearing_sup,5,17
approach_feeder,3,12
rearing_nosup,6,18
rearing_sup,5,17
approach_feeder,3,12
rearing_nosup,6,18
rearing_sup,5,17
approach_left,7,7
rearing_sup,5,17
approach_feeder,3,12
rearing_nosup,6,18
approach_right,10,1
around_wallwithlever,17,14
rearing_sup,5,17
approach_left,7,7
rearing_nosup,6,18
approach_feeder,3,12
rearing_sup,5,17
